study_hours_per_day,attendance_rate,homework_completion_rate,classroom_engagement_level,parents_academic_involvement,type_of_school,tuition_hours_per_week,household_income_bracket,stress_levels_during_exams,sleep_hours_per_day,extracurricular_involvement,screen_time_non_academic,nutrition_level,overall_academic_performance
7,97.9,77.1,medium,medium,international,10,low,high,5,high,6,mixed,75.7
4,94.5,87.8,medium,high,public,2,low,medium,8,low,3,junk-heavy,68.5
8,82.6,51.3,medium,high,public,10,mid,medium,8,high,4,junk-heavy,94.5
5,73.0,99.3,low,low,private,1,low,low,7,low,2,junk-heavy,57.0
7,83.8,35.3,high,medium,public,6,high,medium,9,none,3,balanced,88.0
3,80.9,76.3,medium,medium,international,8,low,medium,4,none,5,mixed,48.3
7,78.4,61.4,low,medium,private,8,high,low,10,high,4,mixed,92.3
8,53.0,61.3,high,medium,international,9,high,medium,11,none,5,junk-heavy,84.6
5,81.6,62.0,high,medium,public,9,low,medium,4,moderate,5,mixed,68.7
4,88.4,48.1,high,high,private,7,high,high,4,none,6,balanced,67.2
8,99.7,80.1,high,medium,private,1,mid,high,8,low,1,balanced,90.7
8,50.6,80.5,medium,high,private,0,mid,medium,10,low,1,junk-heavy,82.2
3,86.5,49.8,high,low,public,7,low,high,6,low,6,mixed,45.5
6,78.6,88.5,low,medium,public,1,high,high,10,none,3,balanced,71.9
5,71.7,52.2,high,medium,public,3,mid,low,4,moderate,1,junk-heavy,66.5
2,56.4,80.8,medium,high,public,3,high,high,6,low,3,balanced,56.4
8,70.5,38.5,low,medium,private,1,mid,medium,7,low,3,mixed,60.9
6,67.7,41.8,medium,low,public,3,mid,high,10,none,6,mixed,54.9
2,65.1,52.1,medium,medium,private,6,low,medium,11,none,7,balanced,50.8
5,86.5,71.6,medium,medium,public,5,low,medium,8,moderate,4,mixed,68.1
1,85.0,75.2,low,high,public,9,mid,high,9,low,7,balanced,44.2
6,79.5,57.7,high,medium,public,5,high,medium,11,low,4,junk-heavy,81.6
9,96.9,35.4,low,high,private,3,low,medium,11,moderate,2,balanced,98.0
1,67.5,56.2,medium,medium,public,1,high,high,11,low,7,balanced,41.9
3,62.2,78.2,high,low,public,4,high,medium,4,low,1,balanced,65.9
7,82.8,77.0,medium,medium,private,10,low,high,11,moderate,6,balanced,91.3
4,59.9,41.2,medium,medium,public,2,low,medium,8,high,2,mixed,52.9
9,65.8,30.5,low,high,international,2,high,medium,7,moderate,6,junk-heavy,68.7
3,61.2,82.7,medium,low,international,3,low,medium,8,low,5,balanced,57.3
5,53.5,37.4,high,low,public,10,low,medium,5,none,3,junk-heavy,50.7
3,91.4,35.8,high,low,private,10,low,low,4,low,7,junk-heavy,44.8
7,62.7,30.2,high,medium,private,4,high,medium,8,high,3,mixed,86.4
5,73.7,60.3,low,low,public,10,mid,low,9,moderate,4,junk-heavy,60.9
9,52.2,65.2,medium,medium,public,1,low,low,8,none,5,mixed,76.6
7,85.0,74.6,low,high,private,5,low,low,8,none,3,balanced,93.4
2,66.5,50.7,medium,medium,international,5,mid,medium,7,none,3,balanced,53.3
4,87.2,79.7,medium,medium,public,7,low,medium,4,high,5,junk-heavy,60.0
9,70.6,41.9,medium,high,public,1,high,medium,11,moderate,5,junk-heavy,83.3
2,59.8,88.2,medium,medium,private,7,mid,medium,9,high,3,junk-heavy,58.0
9,75.7,70.0,medium,low,public,7,mid,medium,4,low,5,junk-heavy,67.6
5,56.5,70.9,medium,medium,private,3,low,medium,5,high,1,junk-heavy,58.9
2,72.0,44.7,high,medium,private,6,mid,low,5,none,5,mixed,47.5
4,65.9,35.2,medium,low,public,6,low,medium,10,low,2,mixed,54.3
7,95.6,62.5,high,medium,public,0,high,low,8,low,2,junk-heavy,86.3
8,53.0,73.1,high,high,private,0,mid,medium,4,high,3,junk-heavy,77.1
3,84.7,36.7,medium,medium,public,7,low,medium,11,low,3,junk-heavy,64.1
1,59.1,96.5,low,medium,public,10,low,medium,11,low,4,balanced,66.8
4,66.0,98.6,low,medium,private,0,high,low,10,moderate,5,mixed,72.7
2,70.8,68.2,medium,high,international,2,low,high,10,high,7,balanced,53.1
8,95.4,96.5,medium,high,private,5,mid,medium,4,high,2,junk-heavy,91.9
4,62.1,42.6,high,medium,public,7,mid,high,8,low,4,balanced,64.3
2,54.6,31.8,high,medium,private,4,low,medium,6,high,3,mixed,43.5
6,65.9,32.8,low,medium,public,4,mid,high,4,moderate,7,balanced,42.2
6,55.2,71.1,high,medium,private,3,mid,medium,8,high,6,mixed,73.4
4,56.4,34.3,medium,low,private,3,mid,low,8,high,6,balanced,51.2
6,78.7,97.1,high,medium,international,6,low,low,10,low,1,mixed,98.0
2,53.0,39.9,low,medium,international,5,high,medium,6,low,5,mixed,45.9
2,51.5,51.3,low,low,public,7,low,medium,5,moderate,4,mixed,26.2
4,85.7,87.6,medium,low,international,10,mid,medium,11,high,1,junk-heavy,81.5
8,68.1,45.3,high,low,international,5,low,medium,9,low,7,balanced,89.5
7,56.3,47.0,medium,medium,private,10,high,medium,8,low,7,mixed,76.7
9,62.7,75.0,low,medium,public,9,low,medium,4,moderate,7,mixed,80.9
8,82.1,49.3,high,low,private,6,mid,high,5,moderate,6,balanced,73.4
5,63.8,45.2,high,high,public,9,mid,medium,5,high,3,junk-heavy,71.7
2,74.7,47.8,low,medium,private,9,high,medium,5,moderate,2,balanced,65.9
5,56.1,64.3,high,low,public,4,mid,low,8,none,4,junk-heavy,56.6
8,79.4,97.6,medium,low,private,5,mid,low,4,high,4,balanced,98.0
9,65.8,88.3,medium,medium,international,0,high,medium,9,moderate,3,junk-heavy,90.9
9,81.3,49.9,medium,low,public,2,mid,high,6,moderate,3,junk-heavy,69.8
1,90.4,55.4,medium,low,private,7,high,medium,7,high,2,balanced,59.3
9,80.6,62.5,medium,medium,public,2,low,medium,7,moderate,2,mixed,93.1
7,64.8,98.5,medium,medium,private,0,mid,high,5,low,2,mixed,72.2
9,62.8,42.1,medium,medium,private,2,high,high,10,none,1,junk-heavy,89.5
8,66.4,55.0,high,medium,public,3,high,high,7,high,1,mixed,90.7
1,58.2,81.1,high,high,public,7,high,high,10,none,3,mixed,66.5
8,59.1,97.5,medium,low,private,8,mid,low,11,none,7,junk-heavy,81.5
8,89.5,40.9,low,low,public,3,high,high,7,high,7,balanced,65.0
3,69.2,45.9,medium,high,private,6,low,high,8,low,4,junk-heavy,47.4
1,71.8,45.8,high,medium,private,0,low,medium,6,none,1,mixed,41.7
8,79.7,31.5,medium,medium,public,8,low,low,7,low,3,junk-heavy,79.0
3,79.5,72.3,medium,low,international,10,high,medium,10,high,6,junk-heavy,63.9
3,53.4,76.9,medium,low,public,3,low,medium,9,moderate,6,mixed,45.8
1,91.6,72.2,medium,low,public,8,mid,medium,9,low,1,balanced,66.3
5,58.9,35.0,medium,medium,public,2,low,high,6,high,2,balanced,46.7
7,86.2,34.8,high,low,public,10,low,medium,7,low,6,mixed,79.2
9,88.6,44.7,medium,medium,private,4,mid,high,9,low,3,balanced,92.8
7,85.7,50.3,medium,medium,private,0,mid,medium,5,none,6,balanced,69.3
9,78.9,85.1,medium,low,private,10,low,medium,11,moderate,2,mixed,98.0
8,50.7,41.2,high,low,private,2,mid,high,5,moderate,5,junk-heavy,48.8
2,68.0,33.1,medium,medium,public,4,low,medium,9,none,6,junk-heavy,27.1
1,80.2,57.6,medium,low,public,5,mid,high,11,moderate,4,junk-heavy,49.3
7,69.4,59.1,medium,low,international,7,low,medium,6,none,2,balanced,83.1
7,93.2,61.6,high,low,international,0,mid,medium,10,high,4,junk-heavy,72.9
8,65.4,87.9,low,medium,public,2,low,high,11,low,3,junk-heavy,73.0
5,64.7,36.9,medium,medium,private,0,mid,medium,11,moderate,7,balanced,59.2
3,63.3,79.3,high,low,public,4,low,medium,6,moderate,7,mixed,38.0
8,66.6,53.7,high,medium,public,7,mid,medium,11,moderate,5,balanced,98.0
6,77.9,51.7,medium,high,private,3,low,high,6,low,4,balanced,68.8
3,85.4,95.3,high,medium,public,10,mid,high,6,none,7,balanced,67.2
1,83.1,47.4,medium,low,public,8,mid,medium,4,high,6,junk-heavy,25.0
3,90.4,75.0,medium,medium,private,5,high,low,5,none,1,mixed,64.8
5,94.3,49.3,medium,medium,international,5,high,medium,7,moderate,6,junk-heavy,60.3
3,90.8,65.5,low,high,international,10,mid,high,4,none,6,balanced,65.3
1,50.9,85.0,medium,high,public,4,mid,medium,6,low,3,balanced,46.0
5,86.8,91.7,medium,medium,public,9,mid,medium,7,moderate,5,junk-heavy,83.3
7,60.4,88.7,high,medium,public,4,mid,medium,5,low,1,balanced,84.9
7,56.6,70.8,high,high,private,10,mid,high,6,high,7,balanced,81.3
9,81.9,47.4,medium,high,international,6,low,medium,8,high,1,mixed,98.0
3,66.0,76.3,medium,medium,private,7,low,medium,6,high,6,mixed,51.5
7,52.9,79.7,low,low,private,6,mid,low,7,moderate,5,mixed,75.0
1,56.9,30.7,medium,low,public,0,mid,medium,5,low,2,mixed,25.0
4,50.0,60.7,medium,medium,public,0,mid,medium,10,moderate,5,balanced,57.6
4,95.2,89.0,medium,medium,public,9,low,medium,11,moderate,5,mixed,77.5
5,51.2,64.3,medium,high,private,5,mid,medium,11,none,7,junk-heavy,67.9
7,60.5,51.8,medium,high,public,2,high,medium,6,high,7,balanced,75.0
7,70.8,91.0,high,low,public,8,low,high,5,moderate,5,junk-heavy,70.6
4,67.8,40.9,high,medium,public,10,mid,medium,11,moderate,4,balanced,89.0
7,95.6,44.5,medium,low,private,6,high,medium,4,moderate,2,balanced,86.3
3,52.0,78.1,medium,medium,private,1,low,high,8,high,7,balanced,45.4
6,75.6,54.7,medium,medium,private,2,high,high,9,none,7,mixed,59.5
2,84.0,79.9,low,low,private,7,high,medium,9,low,3,mixed,58.7
9,96.6,41.0,low,low,private,0,low,low,4,moderate,1,junk-heavy,66.9
5,81.0,47.7,low,low,public,4,low,medium,9,moderate,6,balanced,58.5
6,90.2,41.0,low,low,public,9,low,low,8,high,4,balanced,80.8
4,54.2,96.7,low,high,international,0,low,high,10,none,2,junk-heavy,57.0
7,69.3,58.4,medium,low,public,8,high,medium,4,high,5,junk-heavy,68.4
9,68.7,53.6,low,low,public,6,low,high,5,moderate,6,mixed,54.9
7,94.3,31.0,medium,low,public,4,high,high,10,moderate,7,balanced,74.7
1,57.6,40.7,high,high,public,5,low,medium,5,low,6,junk-heavy,31.2
1,57.6,59.5,high,medium,public,10,high,medium,4,moderate,4,mixed,55.3
9,66.4,34.8,low,low,public,2,low,medium,10,moderate,4,balanced,78.0
9,52.7,65.8,medium,medium,international,2,mid,high,7,none,7,junk-heavy,56.9
4,59.1,61.9,high,medium,private,6,low,medium,4,moderate,7,balanced,61.0
9,98.3,83.7,low,medium,public,6,low,medium,6,low,1,balanced,98.0
3,71.4,76.2,high,medium,private,6,low,medium,7,moderate,3,mixed,74.5
7,81.6,61.2,medium,low,private,1,low,medium,5,moderate,2,junk-heavy,61.5
6,86.3,45.7,high,high,private,1,low,low,4,moderate,6,junk-heavy,65.6
8,68.3,80.9,high,medium,public,10,mid,medium,10,none,6,balanced,98.0
9,57.4,79.6,medium,medium,public,4,low,medium,7,none,2,mixed,79.8
5,60.3,40.7,medium,low,private,3,mid,high,10,high,2,balanced,62.0
1,65.7,94.0,medium,high,private,6,mid,low,6,low,7,balanced,58.1
3,81.8,34.5,low,medium,public,2,mid,medium,8,high,5,mixed,42.6
8,69.9,33.9,medium,low,public,4,high,medium,5,none,5,mixed,71.5
6,50.3,43.1,low,low,private,1,high,high,7,moderate,4,mixed,48.7
8,76.2,93.7,low,medium,public,0,mid,medium,9,none,6,junk-heavy,69.4
9,96.1,66.4,medium,medium,public,8,low,medium,7,low,3,balanced,98.0
4,90.6,85.2,high,high,public,3,mid,medium,10,high,1,mixed,88.1
1,91.3,45.9,low,medium,public,7,mid,medium,11,none,6,junk-heavy,39.8
1,89.8,64.3,medium,medium,public,6,low,medium,11,low,7,balanced,58.7
4,66.2,55.1,medium,low,public,0,mid,medium,9,moderate,1,balanced,63.0
7,88.3,87.9,medium,medium,public,9,low,high,7,high,3,balanced,87.9
2,57.2,31.6,low,high,public,10,low,medium,4,low,2,balanced,47.6
3,82.9,47.1,high,medium,public,6,mid,low,5,high,3,balanced,65.0
1,82.1,40.7,medium,low,public,1,low,low,5,moderate,1,balanced,48.3
5,51.3,90.1,medium,low,public,2,low,high,4,low,5,balanced,44.0
1,89.4,62.7,low,low,public,0,low,medium,4,low,3,balanced,37.8
