study_hours_per_day,attendance_rate,homework_completion_rate,classroom_engagement_level,parents_academic_involvement,type_of_school,tuition_hours_per_week,household_income_bracket,stress_levels_during_exams,sleep_hours_per_day,extracurricular_involvement,screen_time_non_academic,nutrition_level,overall_academic_performance
8,94.1,67.4,medium,low,public,1,low,low,11,moderate,6,balanced,78.0
8,84.5,50.0,high,medium,public,3,high,high,6,high,6,balanced,79.9
6,71.3,46.5,medium,low,public,6,low,medium,5,none,5,balanced,55.5
6,63.1,90.7,low,low,private,9,mid,low,8,high,1,junk-heavy,84.1
1,70.4,77.2,high,medium,public,10,high,high,9,moderate,6,mixed,60.5
2,57.4,48.6,high,medium,public,10,low,medium,11,moderate,6,mixed,56.9
6,76.7,65.9,medium,low,public,0,mid,high,9,moderate,2,junk-heavy,60.7
3,85.1,44.8,low,medium,public,8,high,low,7,moderate,5,mixed,60.2
1,88.2,42.3,high,low,private,8,low,high,10,low,5,balanced,61.1
8,76.4,61.0,medium,medium,private,0,low,medium,7,high,4,mixed,68.7
2,77.2,94.9,medium,low,public,8,mid,medium,8,none,1,balanced,61.6
1,97.8,51.1,medium,low,private,8,mid,high,9,low,4,junk-heavy,49.4
6,67.8,62.2,high,high,international,6,low,medium,5,moderate,1,balanced,97.3
5,56.5,96.3,medium,low,public,2,mid,medium,4,low,3,mixed,62.2
2,86.4,38.1,high,low,international,3,mid,medium,7,moderate,1,junk-heavy,54.1
7,73.7,39.1,medium,high,international,9,mid,medium,10,low,4,junk-heavy,90.8
1,83.1,47.4,medium,low,public,8,mid,medium,4,high,6,junk-heavy,25.0
7,82.7,84.9,medium,medium,private,5,mid,high,9,low,5,mixed,78.5
8,78.7,84.7,high,medium,international,3,mid,medium,11,moderate,4,balanced,98.0
9,67.5,35.1,medium,high,public,7,mid,medium,10,low,6,balanced,96.3
3,91.8,86.4,medium,medium,public,9,mid,medium,8,none,3,balanced,72.7
4,93.1,30.9,low,low,private,3,high,medium,6,moderate,3,mixed,48.5
4,82.3,88.3,medium,medium,private,8,low,medium,4,none,5,balanced,66.3
3,81.7,47.3,medium,medium,public,1,mid,low,9,moderate,6,mixed,48.3
