iter	RMSE
0	16.78236937
1	15.89891293
2	15.12935785
3	14.37509043
4	13.75096085
5	13.17187613
6	12.62752529
7	12.13942565
8	11.70140219
9	11.3266559
10	10.97105703
11	10.60642767
12	10.29588899
13	10.0079132
14	9.721462262
15	9.466603427
16	9.234677121
17	9.012030216
18	8.791841466
19	8.596412198
20	8.412485819
21	8.236320793
22	8.078070235
23	7.929021952
24	7.782836444
25	7.635902465
26	7.499529687
27	7.376762603
28	7.258991059
29	7.140222724
30	7.019033389
31	6.907286257
32	6.805128118
33	6.706861861
34	6.612345597
35	6.530232044
36	6.438503517
37	6.358115064
38	6.286347816
39	6.210149434
40	6.138834986
41	6.070963034
42	6.005345904
43	5.949233051
44	5.882789783
45	5.823498068
46	5.778096269
47	5.730041354
48	5.683195657
49	5.628988876
50	5.5819653
51	5.535691421
52	5.492816919
53	5.449667407
54	5.411892237
55	5.377472837
56	5.344441378
57	5.306548159
58	5.271332603
59	5.241663903
60	5.213425723
61	5.184085069
62	5.151295277
63	5.124729557
64	5.100213639
65	5.074696629
66	5.050211616
67	5.028297806
68	5.00452414
69	4.984060432
70	4.963243669
71	4.940817007
72	4.923330344
73	4.90708283
74	4.889253472
75	4.873477367
76	4.855673567
77	4.84122247
78	4.82471159
79	4.811115622
80	4.796771428
81	4.784373019
82	4.771912787
83	4.756605287
84	4.742234748
85	4.729687274
86	4.717308842
87	4.704671971
88	4.690614286
89	4.680425138
90	4.670487484
91	4.658734211
92	4.64628834
93	4.637468111
94	4.625963187
95	4.615869546
96	4.604983371
97	4.596667428
98	4.586887024
99	4.576779356
