iter	Passed	Remaining
0	1	165
1	3	161
2	4	157
3	6	154
4	8	153
5	9	151
6	11	149
7	13	150
8	14	148
9	16	146
10	17	144
11	19	142
12	20	140
13	22	138
14	24	136
15	25	135
16	27	135
17	29	134
18	31	133
19	33	133
20	35	132
21	37	131
22	38	130
23	40	129
24	42	128
25	44	127
26	46	126
27	48	124
28	50	123
29	52	122
30	54	120
31	56	120
32	58	118
33	60	116
34	62	115
35	63	113
36	65	112
37	67	110
38	69	108
39	71	107
40	73	105
41	75	104
42	77	102
43	79	100
44	80	98
45	82	97
46	84	95
47	86	93
48	88	92
49	90	90
50	92	88
51	94	86
52	96	85
53	98	83
54	100	81
55	102	80
56	103	78
57	105	76
58	107	74
59	109	73
60	111	71
61	114	70
62	116	68
63	118	66
64	121	65
65	123	63
66	124	61
67	126	59
68	129	57
69	130	56
70	132	54
71	134	52
72	136	50
73	138	48
74	140	46
75	142	44
76	144	43
77	146	41
78	148	39
79	150	37
80	151	35
81	153	33
82	155	31
83	157	30
84	159	28
85	161	26
86	163	24
87	164	22
88	166	20
89	168	18
90	170	16
91	172	14
92	174	13
93	175	11
94	177	9
95	179	7
96	181	5
97	183	3
98	185	1
99	187	0
